wrapperType	kind	artistId	collectionId	trackId	artistName	collectionName	trackName	collectionCensoredName	trackCensoredName	artistViewUrl	collectionViewUrl	trackViewUrl	previewUrl	artworkUrl30	artworkUrl60	artworkUrl100	collectionPrice	trackPrice	releaseDate	collectionExplicitness	trackExplicitness	discCount	discNumber	trackCount	trackNumber	trackTimeMillis	country	currency	primaryGenreName	isStreamable	contentAdvisoryRating	collectionArtistName
track	song	1506177316	1643938785	1643939111	MATEY, COLDAH & HOFMANNITA	Made in Kuznetsky	Nah	Made in Kuznetsky	Nah	https://music.apple.com/us/artist/matey/1506177316?uo=4	https://music.apple.com/us/album/nah/1643938785?i=1643939111&uo=4	https://music.apple.com/us/album/nah/1643938785?i=1643939111&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/88/97/cc/8897ccdf-abf4-b63d-9965-c628916c749c/mzaf_6897806973650738645.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b7/1a/af/b71aafdd-14d8-20da-6714-35c05d0a9e1e/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b7/1a/af/b71aafdd-14d8-20da-6714-35c05d0a9e1e/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b7/1a/af/b71aafdd-14d8-20da-6714-35c05d0a9e1e/cover.jpg/100x100bb.jpg	8.99	0.99	2022-09-23T12:00:00Z	explicit	explicit	1	1	15	2	155122	USA	USD	Hip-Hop/Rap	True	Explicit	MATEY
track	song	1476459230	1476459476	1476459486	HOFMANNITA	Missing - EP	Такси	Missing - EP	Такси	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D1%82%D0%B0%D0%BA%D1%81%D0%B8/1476459476?i=1476459486&uo=4	https://music.apple.com/us/album/%D1%82%D0%B0%D0%BA%D1%81%D0%B8/1476459476?i=1476459486&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/7e/03/17/7e0317ee-9344-5bb9-3009-ca91077bd0c7/mzaf_8684519131377625628.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/100x100bb.jpg	3.99	1.29	2019-08-14T12:00:00Z	explicit	explicit	1	1	4	3	160052	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1529981354	1530011885	1530012159	PLATIT & HOFMANNITA	Бой плачет - Single	Бой плачет	Бой плачет - Single	Бой плачет	https://music.apple.com/us/artist/platit/1529981354?uo=4	https://music.apple.com/us/album/%D0%B1%D0%BE%D0%B9-%D0%BF%D0%BB%D0%B0%D1%87%D0%B5%D1%82/1530011885?i=1530012159&uo=4	https://music.apple.com/us/album/%D0%B1%D0%BE%D0%B9-%D0%BF%D0%BB%D0%B0%D1%87%D0%B5%D1%82/1530011885?i=1530012159&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/35/6a/fb/356afb4f-0bc2-b570-c458-6d29a8d1f689/mzaf_2645924921468757816.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/c7/e3/d2/c7e3d2d9-fa76-228d-cc03-c3e02c92e9a6/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/c7/e3/d2/c7e3d2d9-fa76-228d-cc03-c3e02c92e9a6/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/c7/e3/d2/c7e3d2d9-fa76-228d-cc03-c3e02c92e9a6/cover.jpg/100x100bb.jpg	1.29	1.29	2020-08-27T12:00:00Z	explicit	explicit	1	1	1	1	136480	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1717645793	1717645797	HOFMANNITA	Сладкая Кровь	R.I.P.	Сладкая Кровь	R.I.P.	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/r-i-p/1717645793?i=1717645797&uo=4	https://music.apple.com/us/album/r-i-p/1717645793?i=1717645797&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/81/7e/84/817e8447-5814-8c30-982b-ef25cafd448c/mzaf_7310562264594226828.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/a2/2d/4e/a22d4e61-92a6-051f-c469-dc4ea3a7d98a/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/a2/2d/4e/a22d4e61-92a6-051f-c469-dc4ea3a7d98a/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/a2/2d/4e/a22d4e61-92a6-051f-c469-dc4ea3a7d98a/cover.jpg/100x100bb.jpg	10.99	1.29	2023-12-01T12:00:00Z	explicit	notExplicit	1	1	10	4	120839	USA	USD	Alternative	True		
track	song	1476459230	1607536902	1607536909	HOFMANNITA & ТРАВМА	В президенты - EP	Невидима	В президенты - EP	Невидима	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%BD%D0%B5%D0%B2%D0%B8%D0%B4%D0%B8%D0%BC%D0%B0/1607536902?i=1607536909&uo=4	https://music.apple.com/us/album/%D0%BD%D0%B5%D0%B2%D0%B8%D0%B4%D0%B8%D0%BC%D0%B0/1607536902?i=1607536909&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/6b/27/17/6b27179f-a740-75ea-967f-f63deafe1707/mzaf_5024492958937113484.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/f9/91/87f991a2-ca95-1068-67a3-38ae0d7ac04a/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/f9/91/87f991a2-ca95-1068-67a3-38ae0d7ac04a/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/f9/91/87f991a2-ca95-1068-67a3-38ae0d7ac04a/cover.jpg/100x100bb.jpg	4.99	1.29	2020-05-29T12:00:00Z	explicit	explicit	1	1	4	2	135000	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1476459476	1476459484	HOFMANNITA	Missing - EP	Любимый, ты спишь?	Missing - EP	Любимый, ты спишь?	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%BB%D1%8E%D0%B1%D0%B8%D0%BC%D1%8B%D0%B9-%D1%82%D1%8B-%D1%81%D0%BF%D0%B8%D1%88%D1%8C/1476459476?i=1476459484&uo=4	https://music.apple.com/us/album/%D0%BB%D1%8E%D0%B1%D0%B8%D0%BC%D1%8B%D0%B9-%D1%82%D1%8B-%D1%81%D0%BF%D0%B8%D1%88%D1%8C/1476459476?i=1476459484&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/1c/4e/49/1c4e49e3-d064-c4dc-66f3-7b668385db69/mzaf_452271083648182548.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/100x100bb.jpg	3.99	1.29	2019-08-14T12:00:00Z	explicit	explicit	1	1	4	2	192000	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1527398745	1527398749	HOFMANNITA	Знаешь Кис - Single	Знаешь Кис	Знаешь Кис - Single	Знаешь Кис	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%B7%D0%BD%D0%B0%D0%B5%D1%88%D1%8C-%D0%BA%D0%B8%D1%81/1527398745?i=1527398749&uo=4	https://music.apple.com/us/album/%D0%B7%D0%BD%D0%B0%D0%B5%D1%88%D1%8C-%D0%BA%D0%B8%D1%81/1527398745?i=1527398749&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/4c/04/e6/4c04e6ee-5052-aa34-468a-751b1054d65d/mzaf_15468782682815271851.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/70/36/23/7036232c-a520-0a89-f9e9-9199b87b49b5/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/70/36/23/7036232c-a520-0a89-f9e9-9199b87b49b5/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/70/36/23/7036232c-a520-0a89-f9e9-9199b87b49b5/cover.jpg/100x100bb.jpg	1.29	1.29	2020-08-20T12:00:00Z	explicit	explicit	1	1	1	1	104000	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1469582898	1573253435	1573253857	Бахус & HOFMANNITA	Вдова Клико - Single	Вдова Клико	Вдова Клико - Single	Вдова Клико	https://music.apple.com/us/artist/%D0%B1%D0%B0%D1%85%D1%83%D1%81/1469582898?uo=4	https://music.apple.com/us/album/%D0%B2%D0%B4%D0%BE%D0%B2%D0%B0-%D0%BA%D0%BB%D0%B8%D0%BA%D0%BE/1573253435?i=1573253857&uo=4	https://music.apple.com/us/album/%D0%B2%D0%B4%D0%BE%D0%B2%D0%B0-%D0%BA%D0%BB%D0%B8%D0%BA%D0%BE/1573253435?i=1573253857&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f9/e5/d5/f9e5d510-8c29-28a9-d8c3-c660e3366151/mzaf_396128331949449393.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/55/b2/c8/55b2c866-1bf5-7544-5046-45eeecf54504/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/55/b2/c8/55b2c866-1bf5-7544-5046-45eeecf54504/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/55/b2/c8/55b2c866-1bf5-7544-5046-45eeecf54504/cover.jpg/100x100bb.jpg	1.29	1.29	2021-06-28T12:00:00Z	notExplicit	notExplicit	1	1	1	1	119968	USA	USD	Pop	True		
track	song	1476459230	1728594750	1728595457	HOFMANNITA & ТРАВМА	Клуб на краю кладбища	Zombieland, Ч. 2	Клуб на краю кладбища	Zombieland, Ч. 2	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/zombieland-%D1%87-2/1728594750?i=1728595457&uo=4	https://music.apple.com/us/album/zombieland-%D1%87-2/1728594750?i=1728595457&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/1f/71/97/1f719767-77e6-589b-ec2f-677bb2b905f7/mzaf_15937426891304250950.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/37/ca/ba37caf4-9842-ab33-8468-c85284c17b0c/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/37/ca/ba37caf4-9842-ab33-8468-c85284c17b0c/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/37/ca/ba37caf4-9842-ab33-8468-c85284c17b0c/cover.jpg/100x100bb.jpg	8.99	1.29	2019-12-13T12:00:00Z	explicit	explicit	1	1	7	4	150857	USA	USD	Hip-Hop/Rap	True	Explicit	HOFMANNITA
track	song	1476459230	1476459476	1476459489	HOFMANNITA	Missing - EP	Щеночек	Missing - EP	Щеночек	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D1%89%D0%B5%D0%BD%D0%BE%D1%87%D0%B5%D0%BA/1476459476?i=1476459489&uo=4	https://music.apple.com/us/album/%D1%89%D0%B5%D0%BD%D0%BE%D1%87%D0%B5%D0%BA/1476459476?i=1476459489&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/db/51/e1/db51e133-96d2-36fc-018e-6715bde92d79/mzaf_14327454423707134395.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/100x100bb.jpg	3.99	1.29	2019-08-14T12:00:00Z	explicit	explicit	1	1	4	4	158145	USA	USD	Hip-Hop/Rap	True	Explicit	
